,reviews-title,reviews-text,stars,nlp-grade
0,A must see,"You have to go here to see the City views. But be prepared for long line ups, even if you have a booking time ... which you must have unless you want a very long wait.
We went at night and the lights are super.",4.0,4.6924
1,Go to the Top. Floor 102 has the outdoor view.,"Educational and beautiful views. 82nd floor is awesome view, 102 outside is even better. Heated outdoor view and feeling the wind at that story is worth the extra cost.",5.0,4.8462
2,A Must-Do!,"One of the highlights of our trip! The staff are friendly and helpful, Jews are amazing and we went to dinner at State Grill in the lobby afterwards which I highly recommend.",5.0,4.8366
3,Such an amazing experience and view,"ItÄs an incredible sightseeing experience and also very well run, We went in Mid January and there were no lines at 1pm, you didn't ned the VIP Queue jump ticket. Great staff ad a great overall experience",5.0,4.462
4,Fantastic views,"Great experience. More than just the views. From arriving and looking at the history of the building to going on the viewing platform. A wonderful visit,",5.0,4.6632
5,"Amazing, must go high rise in NY!","Basically no queue, we entered at the scheduled time. The view is amazing an it is not only an iconic building but they have really upped their game with making upgrades in technology and it is extremely interactive! Would go again!",5.0,3.673
6,Great view of the city,"This landmark has been on my list for a while after watching sleepless in Seattle as a little kid.

The only the I would change is the amount of people allowed up at a time. It was overcrowded/overwhelming",4.0,3.1544
7,Even better than we expected!,"Booked the first slot for Jan 1st 2023. So impressed with the organisation of the entry to the building, the staff who were friendly & incredibly smart, cleanliness & of course the views. Absolutely tremendous & 2nd favourite tourist attraction in the US after Alcatraz! So worth paying the extra to go to the 102nd floor. Great photo opportunities & interesting history & artefacts.",5.0,4.947
8,"Fun, enjoyable tour.",A very memorable tour. The flow of the crowd is very well managed and the overall tour had a number of very interesting exhibits done with a very good presentation style. Of course there is also the view. Make sure to try and go on a clear day. The additional 102nd floor observatory cost extra but is worth a visit.,4.0,4.6578
9,Must see!,Wonderfully done! Very organized. We loved Rita on floor 102. Would go back again. Great view of the beautiful city.,5.0,4.9084
10,Fantastic experience,The renovated Empire State Building with the two viewing levels is much better than 5 years ago. Great work - thank you,5.0,4.7181999999999995
11,Granddaughters first trip to NYC,Empire State Building never disappoints! Not only were our views perfect but we had a view of the building from our hotel window so we saw it everyday! We especially love all the special effects and history on your way to the top. You have done an excellent job of all of it.,5.0,4.9408
12,Could be more!,"Furst impressions not great. Disorganised queuing system and the most utterly rude ‘doorman’, speaking to customers so disrespectfully. Once in, experience to 80th floor was fine. The queue to get to the 86th was nearly an hour. I gave up and asked to be allowed to exit and was questioned why I didn’t want to go up to the higher floors. Do I really need to explain myself?
I would have preferred to go to Summit One in all honesty.
Customer service needs looking at!",2.0,2.3386
13,Willy Cinzia Enea Nicolas Erich,"It was a wonderful experience, the best of our vacation in New York better than The Rock and Freedom Tower, it will be for the timeless charm of the Empire State Building, truly unforgettable, the climb to the top floor is unique; however I have to point out the slowness of access, in my opinion too cumbersome procedure and above all the poor cleaning and hygiene of the toilets a scandalous thing with what they charged me for the climb I demanded decent cleanliness and hygiene (I was with three small children)",4.0,4.8434
14,Views were amazing!,There was so much history. Everything was put together very well & informative. There was enough time to take pics & videos of the great views. Recommend going a little before it gets dark to experience both day & night time.,5.0,4.6798
15,Visit,"The Experiencie was very overwhelming..To many people in the building even though they ask you to make a reservation (date + time)..

View is amazing! Especially on the top floor!",2.0,4.5084
16,Nice view,Amazing view from the 102nd floor however the staff do not seem friendly. There should be more information about the city and surrounding building and neighborhood.,4.0,3.5792
